"Hastighed"	"Doed"	"Airbag"	"Sikkerhedssele"	"Frontal"	"Koen"	"AlderEjer"	"Aarstal"	"AarBilmodel"	"AirbagFunktion"
"55+ km/t"	1	"nej"	"ikke spaendt"	"nej"	"kvinde"	36	1998	1985	"nej"
"10-24 km/t"	0	"ja"	"spaendt"	"ja"	"kvinde"	22	1998	1995	"nej"
"10-24 km/t"	0	"ja"	"ikke spaendt"	"ja"	"mand"	17	1999	1992	"nej"
"40-54 km/t"	0	"nej"	"ikke spaendt"	"ja"	"mand"	17	1999	1989	"nej"
"40-54 km/t"	0	"nej"	"ikke spaendt"	"nej"	"kvinde"	55	1998	1985	"nej"
"10-24 km/t"	0	"ja"	"spaendt"	"nej"	"kvinde"	42	2000	1998	"nej"
"40-54 km/t"	0	"nej"	"ikke spaendt"	"nej"	"mand"	32	1999	1971	"nej"
"1-9 km/t"	0	"ja"	"spaendt"	"ja"	"mand"	50	1997	1992	"nej"
"10-24 km/t"	0	"ja"	"spaendt"	"nej"	"kvinde"	52	1999	1993	"ja"
"25-39 km/t"	0	"ja"	"ikke spaendt"	"nej"	"mand"	19	2001	1998	"ja"
"10-24 km/t"	0	"nej"	"spaendt"	"ja"	"mand"	22	1997	1986	"nej"
"10-24 km/t"	0	"ja"	"spaendt"	"ja"	"kvinde"	81	2001	1998	"ja"
"10-24 km/t"	0	"nej"	"ikke spaendt"	"nej"	"kvinde"	20	1997	1986	"nej"
"25-39 km/t"	0	"ja"	"spaendt"	"nej"	"kvinde"	62	2001	1998	"ja"
"10-24 km/t"	0	"ja"	"ikke spaendt"	"ja"	"kvinde"	27	1998	1995	"ja"
"25-39 km/t"	0	"ja"	"ikke spaendt"	"ja"	"mand"	21	2002	1995	"ja"
"25-39 km/t"	0	"nej"	"spaendt"	"nej"	"kvinde"	27	1997	1988	"nej"
"10-24 km/t"	0	"nej"	"ikke spaendt"	"nej"	"kvinde"	26	1997	1985	"nej"
"10-24 km/t"	0	"ja"	"spaendt"	"nej"	"mand"	48	2002	1997	"nej"
"10-24 km/t"	0	"nej"	"spaendt"	"nej"	"kvinde"	35	2000	1984	"nej"
"25-39 km/t"	0	"nej"	"ikke spaendt"	"ja"	"mand"	24	2001	1986	"nej"
"10-24 km/t"	0	"ja"	"spaendt"	"nej"	"mand"	79	1999	1994	"ja"
"40-54 km/t"	0	"ja"	"ikke spaendt"	"nej"	"mand"	18	2001	1991	"ja"
"25-39 km/t"	0	"ja"	"spaendt"	"nej"	"kvinde"	51	2002	1994	"ja"
"10-24 km/t"	0	"nej"	"spaendt"	"ja"	"mand"	39	2000	1990	"nej"
"25-39 km/t"	0	"nej"	"ikke spaendt"	"nej"	"mand"	41	2001	1992	"nej"
"25-39 km/t"	0	"nej"	"spaendt"	"nej"	"mand"	51	1999	1988	"nej"
"25-39 km/t"	0	"ja"	"ikke spaendt"	"nej"	"mand"	18	1999	1997	"ja"
"10-24 km/t"	0	"nej"	"spaendt"	"nej"	"mand"	44	1997	1994	"nej"
"10-24 km/t"	0	"nej"	"ikke spaendt"	"nej"	"mand"	56	2001	1992	"nej"
"25-39 km/t"	1	"nej"	"ikke spaendt"	"nej"	"mand"	50	1997	1988	"nej"
"40-54 km/t"	1	"ja"	"ikke spaendt"	"ja"	"mand"	18	2001	1999	"ja"
"25-39 km/t"	0	"ja"	"spaendt"	"nej"	"kvinde"	48	2002	1995	"ja"
"25-39 km/t"	0	"ja"	"spaendt"	"nej"	"kvinde"	83	2000	1995	"ja"
"25-39 km/t"	0	"nej"	"spaendt"	"nej"	"mand"	35	1998	1987	"nej"
"25-39 km/t"	0	"ja"	"spaendt"	"nej"	"kvinde"	61	2002	2001	"ja"
"25-39 km/t"	0	"ja"	"ikke spaendt"	"nej"	"mand"	37	1999	1997	"ja"
"55+ km/t"	0	"ja"	"ikke spaendt"	"nej"	"mand"	53	2000	1998	"ja"
"10-24 km/t"	0	"ja"	"spaendt"	"nej"	"mand"	49	1997	1995	"nej"
"10-24 km/t"	0	"nej"	"spaendt"	"ja"	"kvinde"	57	2001	1980	"nej"
"10-24 km/t"	0	"ja"	"ikke spaendt"	"ja"	"mand"	32	1999	1996	"nej"
"10-24 km/t"	0	"ja"	"spaendt"	"ja"	"kvinde"	42	2002	1995	"nej"
"55+ km/t"	0	"nej"	"spaendt"	"nej"	"mand"	34	2001	1989	"nej"
"25-39 km/t"	0	"nej"	"ikke spaendt"	"nej"	"kvinde"	54	2002	1988	"nej"
"10-24 km/t"	0	"nej"	"spaendt"	"nej"	"mand"	26	1998	1988	"nej"
"10-24 km/t"	0	"ja"	"spaendt"	"nej"	"mand"	16	2002	1998	"nej"
"40-54 km/t"	0	"ja"	"ikke spaendt"	"ja"	"kvinde"	85	1998	1997	"ja"
"25-39 km/t"	0	"ja"	"ikke spaendt"	"ja"	"kvinde"	57	2000	1997	"nej"
"25-39 km/t"	0	"ja"	"spaendt"	"ja"	"kvinde"	22	2002	2001	"nej"
"10-24 km/t"	0	"ja"	"spaendt"	"nej"	"kvinde"	32	2002	1996	"ja"
"40-54 km/t"	0	"nej"	"ikke spaendt"	"ja"	"mand"	25	1998	1983	"nej"
"10-24 km/t"	0	"ja"	"spaendt"	"ja"	"kvinde"	48	2002	2000	"nej"
"10-24 km/t"	0	"nej"	"spaendt"	"nej"	"mand"	63	1997	1990	"nej"
"10-24 km/t"	0	"ja"	"spaendt"	"nej"	"mand"	34	1999	1997	"nej"
"10-24 km/t"	0	"ja"	"spaendt"	"nej"	"mand"	44	1999	1996	"nej"
"10-24 km/t"	0	"nej"	"spaendt"	"ja"	"mand"	16	2001	1988	"nej"
"25-39 km/t"	0	"ja"	"spaendt"	"nej"	"kvinde"	42	2002	1998	"ja"
"10-24 km/t"	0	"nej"	"spaendt"	"nej"	"mand"	20	1999	1992	"nej"
"1-9 km/t"	0	"ja"	"spaendt"	"ja"	"mand"	25	2000	2000	"nej"
"10-24 km/t"	0	"nej"	"spaendt"	"nej"	"mand"	41	1999	1993	"nej"
"10-24 km/t"	0	"nej"	"spaendt"	"nej"	"mand"	78	1997	1985	"nej"
"25-39 km/t"	0	"nej"	"ikke spaendt"	"nej"	"mand"	24	1998	1997	"nej"
"55+ km/t"	0	"nej"	"spaendt"	"nej"	"kvinde"	19	1999	1988	"nej"
"55+ km/t"	0	"nej"	"spaendt"	"nej"	"kvinde"	18	1997	1988	"nej"
"10-24 km/t"	0	"ja"	"ikke spaendt"	"nej"	"mand"	35	1998	1997	"nej"
"10-24 km/t"	0	"ja"	"spaendt"	"nej"	"mand"	24	2001	1997	"ja"
"25-39 km/t"	0	"nej"	"spaendt"	"nej"	"kvinde"	41	1997	1992	"nej"
"10-24 km/t"	0	"ja"	"spaendt"	"nej"	"mand"	19	2000	1997	"nej"
"40-54 km/t"	0	"ja"	"ikke spaendt"	"nej"	"mand"	51	1999	1997	"ja"
"10-24 km/t"	0	"ja"	"spaendt"	"ja"	"mand"	65	1998	1998	"nej"
"25-39 km/t"	0	"nej"	"spaendt"	"ja"	"mand"	39	2001	1993	"nej"
"10-24 km/t"	0	"ja"	"ikke spaendt"	"nej"	"kvinde"	37	1999	1998	"nej"
"40-54 km/t"	0	"nej"	"spaendt"	"ja"	"mand"	57	1998	1992	"nej"
"25-39 km/t"	0	"ja"	"ikke spaendt"	"nej"	"mand"	36	2000	1998	"ja"
"25-39 km/t"	0	"nej"	"ikke spaendt"	"nej"	"mand"	22	2000	1992	"nej"
"25-39 km/t"	0	"ja"	"spaendt"	"nej"	"mand"	75	1997	1995	"ja"
"55+ km/t"	0	"ja"	"spaendt"	"nej"	"kvinde"	31	2001	1999	"ja"
"10-24 km/t"	0	"nej"	"ikke spaendt"	"nej"	"mand"	31	2000	1987	"nej"
"55+ km/t"	1	"ja"	"ikke spaendt"	"nej"	"mand"	30	1999	1999	"ja"
"25-39 km/t"	0	"ja"	"spaendt"	"nej"	"mand"	17	2002	1999	"ja"
"10-24 km/t"	0	"ja"	"spaendt"	"nej"	"mand"	25	2001	1998	"ja"
"10-24 km/t"	0	"nej"	"spaendt"	"ja"	"kvinde"	28	1997	1991	"nej"
"10-24 km/t"	0	"ja"	"spaendt"	"nej"	"kvinde"	49	2000	1995	"ja"
"25-39 km/t"	0	"nej"	"ikke spaendt"	"nej"	"mand"	29	1999	1990	"nej"
"25-39 km/t"	0	"ja"	"spaendt"	"ja"	"kvinde"	39	1999	1993	"nej"
"10-24 km/t"	0	"ja"	"spaendt"	"nej"	"kvinde"	25	1997	1990	"nej"
"10-24 km/t"	0	"nej"	"spaendt"	"nej"	"kvinde"	67	2001	1993	"nej"
"25-39 km/t"	0	"nej"	"ikke spaendt"	"nej"	"mand"	36	1997	1997	"nej"
"10-24 km/t"	0	"ja"	"spaendt"	"nej"	"mand"	52	2000	2000	"ja"
"55+ km/t"	0	"nej"	"spaendt"	"nej"	"kvinde"	19	1999	1983	"nej"
"40-54 km/t"	0	"nej"	"spaendt"	"nej"	"kvinde"	32	1997	1981	"nej"
"10-24 km/t"	0	"nej"	"ikke spaendt"	"nej"	"kvinde"	18	1999	1989	"nej"
"40-54 km/t"	0	"ja"	"ikke spaendt"	"ja"	"mand"	39	2000	1992	"ja"
"10-24 km/t"	0	"ja"	"spaendt"	"nej"	"kvinde"	75	2002	2001	"ja"
"10-24 km/t"	0	"ja"	"spaendt"	"ja"	"kvinde"	21	1999	1997	"nej"
"25-39 km/t"	0	"nej"	"spaendt"	"ja"	"kvinde"	77	1998	1987	"nej"
"10-24 km/t"	0	"nej"	"spaendt"	"nej"	"mand"	72	1998	1990	"nej"
"10-24 km/t"	0	"nej"	"spaendt"	"nej"	"kvinde"	27	1998	1994	"nej"
"10-24 km/t"	0	"ja"	"spaendt"	"nej"	"mand"	21	1998	1995	"ja"
"25-39 km/t"	0	"nej"	"spaendt"	"ja"	"mand"	27	2000	1987	"nej"
"25-39 km/t"	0	"nej"	"ikke spaendt"	"ja"	"mand"	20	1998	1989	"nej"
"10-24 km/t"	0	"nej"	"ikke spaendt"	"nej"	"kvinde"	25	2002	1991	"nej"
"10-24 km/t"	0	"ja"	"spaendt"	"nej"	"mand"	84	2001	1998	"ja"
"25-39 km/t"	0	"nej"	"ikke spaendt"	"ja"	"mand"	41	1998	1993	"nej"
"25-39 km/t"	0	"ja"	"spaendt"	"ja"	"kvinde"	38	1997	1992	"nej"
"25-39 km/t"	0	"ja"	"spaendt"	"nej"	"mand"	53	1997	1996	"ja"
"10-24 km/t"	0	"nej"	"spaendt"	"nej"	"kvinde"	24	2000	1986	"nej"
"25-39 km/t"	1	"nej"	"ikke spaendt"	"nej"	"mand"	86	1999	1988	"nej"
"25-39 km/t"	0	"ja"	"spaendt"	"nej"	"mand"	41	2002	2000	"nej"
"25-39 km/t"	0	"nej"	"ikke spaendt"	"nej"	"mand"	24	2000	1992	"nej"
"10-24 km/t"	0	"nej"	"ikke spaendt"	"nej"	"mand"	25	1999	1987	"nej"
"25-39 km/t"	0	"ja"	"spaendt"	"nej"	"mand"	27	2002	1992	"nej"
"10-24 km/t"	0	"ja"	"spaendt"	"ja"	"kvinde"	82	1997	1990	"nej"
"25-39 km/t"	0	"nej"	"spaendt"	"nej"	"mand"	19	1998	1983	"nej"
"10-24 km/t"	0	"ja"	"ikke spaendt"	"nej"	"mand"	37	2000	1995	"ja"
"25-39 km/t"	0	"ja"	"spaendt"	"nej"	"mand"	24	2002	1994	"ja"
"25-39 km/t"	0	"ja"	"spaendt"	"ja"	"kvinde"	21	1999	1995	"ja"
"10-24 km/t"	0	"ja"	"spaendt"	"nej"	"kvinde"	16	1999	1999	"ja"
"55+ km/t"	0	"ja"	"ikke spaendt"	"ja"	"mand"	48	2000	1998	"nej"
"10-24 km/t"	0	"ja"	"spaendt"	"ja"	"mand"	25	1998	1994	"nej"
"25-39 km/t"	0	"ja"	"spaendt"	"nej"	"kvinde"	25	2002	1999	"ja"
"10-24 km/t"	0	"nej"	"spaendt"	"ja"	"kvinde"	38	1998	1984	"nej"
"10-24 km/t"	0	"nej"	"ikke spaendt"	"ja"	"mand"	19	1997	1988	"nej"
"10-24 km/t"	0	"nej"	"spaendt"	"ja"	"kvinde"	49	2001	1992	"nej"
"25-39 km/t"	0	"nej"	"ikke spaendt"	"nej"	"mand"	49	1999	1989	"nej"
"25-39 km/t"	0	"nej"	"spaendt"	"nej"	"mand"	63	1999	1979	"nej"
"10-24 km/t"	0	"ja"	"spaendt"	"nej"	"mand"	29	2001	2000	"ja"
"10-24 km/t"	0	"ja"	"spaendt"	"ja"	"mand"	23	2000	1996	"ja"
"10-24 km/t"	0	"ja"	"spaendt"	"nej"	"kvinde"	22	2002	2000	"ja"
"1-9 km/t"	0	"nej"	"ikke spaendt"	"ja"	"kvinde"	28	1997	1986	"nej"
"25-39 km/t"	0	"ja"	"spaendt"	"nej"	"kvinde"	37	1998	1992	"ja"
"25-39 km/t"	0	"nej"	"spaendt"	"nej"	"mand"	71	2000	1987	"nej"
"10-24 km/t"	0	"ja"	"spaendt"	"nej"	"kvinde"	68	1998	1995	"ja"
"10-24 km/t"	0	"nej"	"spaendt"	"ja"	"mand"	71	2001	1987	"nej"
"25-39 km/t"	0	"nej"	"spaendt"	"nej"	"kvinde"	79	2001	1990	"nej"
"10-24 km/t"	0	"nej"	"ikke spaendt"	"nej"	"kvinde"	34	1997	1993	"nej"
"10-24 km/t"	0	"nej"	"spaendt"	"nej"	"kvinde"	43	1997	1990	"nej"
"10-24 km/t"	0	"nej"	"spaendt"	"ja"	"kvinde"	58	2002	1992	"nej"
"10-24 km/t"	0	"ja"	"spaendt"	"nej"	"kvinde"	26	2002	1997	"ja"
"10-24 km/t"	0	"ja"	"ikke spaendt"	"nej"	"mand"	54	2001	2000	"ja"
"40-54 km/t"	0	"nej"	"spaendt"	"nej"	"mand"	20	1997	1994	"nej"
"10-24 km/t"	0	"nej"	"spaendt"	"nej"	"mand"	29	1998	1985	"nej"
"10-24 km/t"	0	"nej"	"spaendt"	"ja"	"kvinde"	20	2000	1989	"nej"
"10-24 km/t"	0	"nej"	"spaendt"	"nej"	"mand"	77	1998	1994	"nej"
"10-24 km/t"	0	"nej"	"spaendt"	"nej"	"mand"	25	2002	1990	"nej"
"40-54 km/t"	0	"nej"	"spaendt"	"nej"	"mand"	16	1997	1986	"nej"
"25-39 km/t"	0	"ja"	"spaendt"	"nej"	"kvinde"	40	2002	2002	"ja"
"10-24 km/t"	0	"ja"	"spaendt"	"ja"	"kvinde"	20	1998	1994	"nej"
"25-39 km/t"	0	"nej"	"spaendt"	"nej"	"kvinde"	50	2001	1990	"nej"
"25-39 km/t"	0	"ja"	"spaendt"	"ja"	"mand"	18	2002	2000	"ja"
"25-39 km/t"	0	"nej"	"ikke spaendt"	"nej"	"mand"	32	1998	1989	"nej"
"25-39 km/t"	0	"nej"	"spaendt"	"nej"	"kvinde"	45	1999	1986	"nej"
"10-24 km/t"	0	"ja"	"spaendt"	"nej"	"mand"	17	2000	1997	"nej"
"25-39 km/t"	0	"ja"	"spaendt"	"nej"	"kvinde"	35	2002	1995	"ja"
"55+ km/t"	0	"nej"	"ikke spaendt"	"nej"	"mand"	54	1997	1988	"nej"
"10-24 km/t"	0	"nej"	"spaendt"	"nej"	"mand"	35	1998	1985	"nej"
"10-24 km/t"	0	"ja"	"ikke spaendt"	"ja"	"mand"	80	1997	1994	"nej"
"40-54 km/t"	0	"nej"	"ikke spaendt"	"nej"	"mand"	18	1997	1988	"nej"
"10-24 km/t"	0	"nej"	"spaendt"	"nej"	"kvinde"	35	2000	1987	"nej"
"1-9 km/t"	0	"ja"	"ikke spaendt"	"ja"	"kvinde"	55	2000	1999	"nej"
"40-54 km/t"	0	"ja"	"spaendt"	"ja"	"kvinde"	18	2000	1997	"ja"
"10-24 km/t"	0	"nej"	"spaendt"	"nej"	"kvinde"	66	1997	1988	"nej"
"10-24 km/t"	0	"nej"	"spaendt"	"ja"	"kvinde"	23	1998	1985	"nej"
"25-39 km/t"	0	"nej"	"ikke spaendt"	"nej"	"kvinde"	31	1997	1988	"nej"
"40-54 km/t"	0	"nej"	"ikke spaendt"	"nej"	"mand"	23	2002	1989	"nej"
"10-24 km/t"	0	"ja"	"ikke spaendt"	"ja"	"kvinde"	47	2002	2002	"nej"
"10-24 km/t"	0	"nej"	"spaendt"	"ja"	"mand"	33	1997	1990	"nej"
"10-24 km/t"	0	"ja"	"spaendt"	"nej"	"mand"	55	1998	1996	"ja"
"10-24 km/t"	0	"ja"	"spaendt"	"ja"	"kvinde"	79	2001	2000	"nej"
"25-39 km/t"	0	"nej"	"spaendt"	"ja"	"mand"	19	2002	1990	"nej"
"25-39 km/t"	0	"ja"	"ikke spaendt"	"nej"	"kvinde"	34	2000	1998	"ja"
"25-39 km/t"	0	"nej"	"ikke spaendt"	"nej"	"kvinde"	49	1999	1986	"nej"
"1-9 km/t"	0	"ja"	"spaendt"	"ja"	"kvinde"	27	1999	1996	"nej"
"10-24 km/t"	0	"ja"	"spaendt"	"ja"	"kvinde"	39	1998	1990	"ja"
"55+ km/t"	0	"ja"	"spaendt"	"nej"	"mand"	45	2002	1993	"ja"
"10-24 km/t"	0	"nej"	"spaendt"	"nej"	"kvinde"	83	1999	1986	"nej"
"40-54 km/t"	0	"ja"	"spaendt"	"ja"	"kvinde"	28	2002	2000	"ja"
"10-24 km/t"	0	"nej"	"ikke spaendt"	"nej"	"mand"	23	1998	1983	"nej"
"10-24 km/t"	0	"nej"	"spaendt"	"ja"	"kvinde"	69	1997	1982	"nej"
"10-24 km/t"	0	"nej"	"spaendt"	"nej"	"kvinde"	59	1997	1990	"nej"
"25-39 km/t"	1	"nej"	"ikke spaendt"	"ja"	"kvinde"	49	1997	1992	"nej"
"10-24 km/t"	0	"ja"	"ikke spaendt"	"nej"	"kvinde"	66	2001	1990	"nej"
"25-39 km/t"	0	"nej"	"spaendt"	"ja"	"kvinde"	22	1997	1994	"nej"
"10-24 km/t"	0	"ja"	"spaendt"	"ja"	"kvinde"	53	1997	1997	"nej"
"10-24 km/t"	0	"ja"	"ikke spaendt"	"nej"	"kvinde"	51	2000	1996	"ja"
"25-39 km/t"	0	"nej"	"ikke spaendt"	"nej"	"kvinde"	75	1999	1989	"nej"
"10-24 km/t"	0	"ja"	"spaendt"	"nej"	"mand"	29	2001	1999	"ja"
"25-39 km/t"	0	"nej"	"ikke spaendt"	"nej"	"mand"	33	1997	1977	"nej"
"10-24 km/t"	0	"nej"	"spaendt"	"nej"	"mand"	35	2000	1990	"nej"
"25-39 km/t"	0	"nej"	"spaendt"	"nej"	"mand"	61	1997	1987	"nej"
"10-24 km/t"	0	"ja"	"spaendt"	"nej"	"kvinde"	16	2001	2000	"nej"
"10-24 km/t"	0	"ja"	"ikke spaendt"	"nej"	"mand"	22	2002	1995	"ja"
"10-24 km/t"	0	"nej"	"spaendt"	"ja"	"mand"	40	1999	1986	"nej"
"10-24 km/t"	0	"ja"	"spaendt"	"nej"	"mand"	39	2000	1993	"nej"
"10-24 km/t"	0	"nej"	"ikke spaendt"	"nej"	"mand"	31	1998	1988	"nej"
"25-39 km/t"	0	"nej"	"spaendt"	"ja"	"kvinde"	31	1999	1993	"nej"
"10-24 km/t"	0	"nej"	"spaendt"	"ja"	"kvinde"	25	1998	1985	"nej"
"40-54 km/t"	0	"nej"	"ikke spaendt"	"ja"	"mand"	50	1997	1987	"nej"
"10-24 km/t"	0	"ja"	"spaendt"	"nej"	"kvinde"	59	1998	1996	"ja"
"10-24 km/t"	0	"nej"	"spaendt"	"nej"	"kvinde"	18	1997	1987	"nej"
"25-39 km/t"	1	"ja"	"ikke spaendt"	"ja"	"mand"	81	1997	1997	"ja"
"10-24 km/t"	0	"ja"	"spaendt"	"nej"	"kvinde"	63	2002	1999	"nej"
"10-24 km/t"	0	"nej"	"spaendt"	"nej"	"kvinde"	47	2002	1989	"nej"
"10-24 km/t"	0	"nej"	"ikke spaendt"	"ja"	"kvinde"	54	1999	1989	"nej"
"10-24 km/t"	0	"nej"	"spaendt"	"nej"	"kvinde"	19	2002	1994	"nej"
"25-39 km/t"	0	"ja"	"ikke spaendt"	"nej"	"mand"	26	1999	1997	"ja"
"25-39 km/t"	0	"ja"	"spaendt"	"ja"	"kvinde"	46	2001	1998	"nej"
"40-54 km/t"	0	"nej"	"ikke spaendt"	"nej"	"kvinde"	17	1997	1988	"nej"
"25-39 km/t"	0	"nej"	"spaendt"	"nej"	"mand"	37	2001	1990	"nej"
"10-24 km/t"	0	"ja"	"spaendt"	"ja"	"mand"	39	2002	1998	"nej"
"40-54 km/t"	1	"ja"	"ikke spaendt"	"nej"	"mand"	49	1997	1993	"ja"
"10-24 km/t"	0	"nej"	"spaendt"	"ja"	"kvinde"	24	2000	1990	"nej"
"10-24 km/t"	0	"ja"	"ikke spaendt"	"nej"	"mand"	38	2002	1998	"nej"
"40-54 km/t"	0	"ja"	"spaendt"	"ja"	"mand"	37	2002	1999	"nej"
"40-54 km/t"	0	"nej"	"spaendt"	"ja"	"mand"	22	1997	1980	"nej"
"40-54 km/t"	0	"ja"	"spaendt"	"nej"	"kvinde"	35	2002	1998	"ja"
"25-39 km/t"	0	"ja"	"ikke spaendt"	"ja"	"mand"	64	2002	2001	"nej"
"25-39 km/t"	0	"nej"	"ikke spaendt"	"nej"	"mand"	45	2001	1990	"nej"
"25-39 km/t"	0	"ja"	"ikke spaendt"	"ja"	"mand"	25	2002	2000	"ja"
"25-39 km/t"	0	"nej"	"spaendt"	"nej"	"mand"	33	1997	1994	"nej"
"40-54 km/t"	0	"nej"	"spaendt"	"ja"	"kvinde"	22	2002	1991	"nej"
"25-39 km/t"	0	"nej"	"ikke spaendt"	"nej"	"mand"	40	2000	1972	"nej"
"10-24 km/t"	0	"ja"	"spaendt"	"ja"	"mand"	17	1997	1997	"nej"
"55+ km/t"	0	"nej"	"ikke spaendt"	"nej"	"mand"	16	2001	1988	"nej"
"25-39 km/t"	0	"ja"	"ikke spaendt"	"ja"	"mand"	26	2002	2000	"ja"
"25-39 km/t"	0	"ja"	"spaendt"	"nej"	"mand"	40	1998	1994	"ja"
"10-24 km/t"	0	"nej"	"spaendt"	"nej"	"kvinde"	31	1998	1988	"nej"
"55+ km/t"	0	"ja"	"spaendt"	"nej"	"mand"	53	1999	1997	"ja"
"10-24 km/t"	1	"ja"	"spaendt"	"nej"	"mand"	37	1997	1995	"ja"
"10-24 km/t"	0	"ja"	"spaendt"	"ja"	"kvinde"	60	1998	1998	"ja"
"25-39 km/t"	0	"ja"	"spaendt"	"nej"	"mand"	37	2001	1997	"ja"
"10-24 km/t"	0	"nej"	"spaendt"	"ja"	"mand"	39	1999	1989	"nej"
"25-39 km/t"	0	"nej"	"ikke spaendt"	"nej"	"mand"	24	1999	1989	"nej"
"25-39 km/t"	0	"ja"	"spaendt"	"nej"	"mand"	20	1998	1997	"ja"
"25-39 km/t"	0	"nej"	"spaendt"	"nej"	"mand"	37	2000	1979	"nej"
"10-24 km/t"	0	"ja"	"ikke spaendt"	"nej"	"mand"	55	2001	1999	"ja"
"10-24 km/t"	0	"ja"	"spaendt"	"ja"	"mand"	60	2000	2000	"nej"
"10-24 km/t"	0	"nej"	"spaendt"	"ja"	"mand"	22	2002	1984	"nej"
"10-24 km/t"	0	"ja"	"ikke spaendt"	"nej"	"kvinde"	48	1999	1997	"ja"
"40-54 km/t"	0	"nej"	"spaendt"	"ja"	"kvinde"	19	2000	1987	"nej"
"25-39 km/t"	0	"ja"	"ikke spaendt"	"nej"	"kvinde"	63	1999	1999	"ja"
"25-39 km/t"	0	"nej"	"ikke spaendt"	"nej"	"mand"	41	1998	1988	"nej"
"25-39 km/t"	0	"nej"	"ikke spaendt"	"nej"	"mand"	24	1998	1988	"nej"
"10-24 km/t"	0	"ja"	"spaendt"	"nej"	"mand"	25	2002	1998	"ja"
"10-24 km/t"	0	"ja"	"spaendt"	"nej"	"kvinde"	24	2002	1995	"ja"
"25-39 km/t"	0	"nej"	"ikke spaendt"	"nej"	"mand"	27	2000	1996	"nej"
"1-9 km/t"	0	"nej"	"spaendt"	"nej"	"kvinde"	37	2002	1994	"nej"
"40-54 km/t"	0	"nej"	"spaendt"	"nej"	"mand"	33	1997	1985	"nej"
"10-24 km/t"	0	"nej"	"spaendt"	"nej"	"mand"	20	1999	1989	"nej"
"10-24 km/t"	0	"ja"	"spaendt"	"ja"	"kvinde"	28	2001	1993	"nej"
"25-39 km/t"	0	"ja"	"ikke spaendt"	"nej"	"mand"	33	1998	1998	"ja"
"10-24 km/t"	0	"nej"	"spaendt"	"ja"	"mand"	68	2000	1985	"nej"
"40-54 km/t"	0	"ja"	"spaendt"	"ja"	"mand"	18	1997	1993	"nej"
"10-24 km/t"	0	"ja"	"spaendt"	"ja"	"mand"	55	2001	1995	"ja"
"10-24 km/t"	0	"nej"	"spaendt"	"nej"	"kvinde"	37	1999	1991	"nej"
"10-24 km/t"	0	"ja"	"spaendt"	"nej"	"kvinde"	32	1999	1996	"ja"
"25-39 km/t"	0	"ja"	"ikke spaendt"	"nej"	"mand"	38	2001	2001	"ja"
"40-54 km/t"	0	"ja"	"spaendt"	"nej"	"kvinde"	31	2001	1997	"ja"
"10-24 km/t"	0	"ja"	"spaendt"	"ja"	"mand"	19	2001	1999	"ja"
"10-24 km/t"	0	"nej"	"ikke spaendt"	"nej"	"kvinde"	74	1998	1984	"nej"
"10-24 km/t"	0	"ja"	"spaendt"	"nej"	"mand"	20	1998	1997	"ja"
"10-24 km/t"	0	"nej"	"ikke spaendt"	"ja"	"kvinde"	16	1998	1989	"nej"
"25-39 km/t"	0	"ja"	"ikke spaendt"	"ja"	"mand"	28	2000	1999	"nej"
"10-24 km/t"	0	"ja"	"spaendt"	"ja"	"kvinde"	59	2000	2001	"nej"
"25-39 km/t"	0	"ja"	"spaendt"	"ja"	"mand"	17	1998	1998	"nej"
"25-39 km/t"	0	"ja"	"spaendt"	"nej"	"mand"	64	2001	1994	"ja"
"25-39 km/t"	0	"ja"	"ikke spaendt"	"nej"	"kvinde"	16	2001	1999	"ja"
"40-54 km/t"	0	"ja"	"spaendt"	"nej"	"kvinde"	31	1997	1997	"ja"
"10-24 km/t"	0	"ja"	"spaendt"	"ja"	"mand"	40	2001	1994	"ja"
"25-39 km/t"	0	"ja"	"spaendt"	"ja"	"kvinde"	59	1997	1995	"ja"
"25-39 km/t"	0	"nej"	"spaendt"	"ja"	"mand"	31	1998	1990	"nej"
"10-24 km/t"	0	"ja"	"ikke spaendt"	"ja"	"mand"	69	1998	1993	"nej"
"10-24 km/t"	0	"ja"	"spaendt"	"ja"	"kvinde"	39	1998	1995	"ja"
"25-39 km/t"	0	"nej"	"spaendt"	"ja"	"kvinde"	17	2000	1990	"nej"
"10-24 km/t"	0	"nej"	"spaendt"	"nej"	"mand"	19	2002	1993	"nej"
"10-24 km/t"	0	"ja"	"spaendt"	"ja"	"kvinde"	51	2002	2000	"nej"
"55+ km/t"	1	"nej"	"spaendt"	"nej"	"kvinde"	45	1998	1991	"nej"
"25-39 km/t"	0	"nej"	"spaendt"	"nej"	"mand"	23	1998	1983	"nej"
"10-24 km/t"	0	"nej"	"ikke spaendt"	"nej"	"kvinde"	46	1998	1987	"nej"
"25-39 km/t"	0	"ja"	"spaendt"	"ja"	"kvinde"	22	2002	2000	"nej"
"55+ km/t"	0	"ja"	"ikke spaendt"	"ja"	"mand"	43	1998	1997	"ja"
"25-39 km/t"	0	"nej"	"spaendt"	"nej"	"mand"	31	2002	1991	"nej"
"10-24 km/t"	0	"nej"	"spaendt"	"nej"	"mand"	19	2002	1984	"nej"
"25-39 km/t"	0	"nej"	"spaendt"	"ja"	"kvinde"	79	2001	1990	"nej"
